,File Name,Mean,Median,Var,Std,Min,Max,Decomposing Number,Molecular Num in Environment
0,TxRx30_ARQ1-1_ACTIVE-ACTIVE_RTO4_DC05_1messages.dat,91954.714,90256.0,1659841231.0282042,40741.14911276073,1848,241659,0,12206
1,TxRx30_ARQ1-1_PASSIVE-PASSIVE_RTO4_DC05_1messages.dat,92941.723,89982.0,1613274365.456271,40165.58683072203,1930,232251,0,12122
2,TxRx30_ARQ10-10_ACTIVE-ACTIVE_RTO4_DC05_1messages.dat,16849.398,15803.0,120799495.41159602,10990.882376387986,473,56920,0,34900
3,TxRx30_ARQ10-10_PASSIVE-PASSIVE_RTO4_DC05_1messages.dat,16229.899,15576.5,114388519.154799,10695.25685314752,643,51816,0,34830
4,TxRx30_ARQ20-20_ACTIVE-ACTIVE_RTO4_DC05_1messages.dat,7681.6,5591.5,41429220.692,6436.553479308628,542,38550,0,60800
5,TxRx30_ARQ20-20_PASSIVE-PASSIVE_RTO4_DC05_1messages.dat,8053.339,5551.0,51060857.598078996,7145.6880423146795,419,39517,0,61180
6,TxRx30_ARQ30-30_ACTIVE-ACTIVE_RTO4_DC05_1messages.dat,4632.064,2808.5,20763081.791904,4556.652476534062,408,29666,0,90180
7,TxRx30_ARQ30-30_PASSIVE-PASSIVE_RTO4_DC05_1messages.dat,4460.794,2698.0,18606517.725564003,4313.527295098989,310,30763,0,90090
8,TxRx30_ARQ50-50_ACTIVE-ACTIVE_RTO4_DC05_1messages.dat,2399.672,1550.0,5499235.396416,2345.044860213979,332,17292,0,150000
9,TxRx30_ARQ50-50_PASSIVE-PASSIVE_RTO4_DC05_1messages.dat,2369.98,1573.0,5909849.3376,2431.0181689160613,378,16334,0,150000
10,TxRx30_ARQ100-100_ACTIVE-ACTIVE_RTO4_DC05_1messages.dat,1079.072,959.5,396782.98681599996,629.9071255478858,332,13189,0,300000
11,TxRx30_ARQ100-100_PASSIVE-PASSIVE_RTO4_DC05_1messages.dat,1108.991,939.0,481041.882919,693.5718296751967,280,11579,0,300000
12,TxRx50_ARQ1-1_ACTIVE-ACTIVE_RTO4_DC05_1messages.dat,476019.176,465408.5,44094733987.18902,209987.46149994055,33026,1238734,0,11350
13,TxRx50_ARQ1-1_PASSIVE-PASSIVE_RTO4_DC05_1messages.dat,484142.593,466242.0,43398495252.14136,208323.0550182609,24260,1313811,0,11480
14,TxRx50_ARQ10-10_ACTIVE-ACTIVE_RTO4_DC05_1messages.dat,95051.768,92331.5,3418491198.422176,58467.86466446484,2213,292669,0,34930
15,TxRx50_ARQ10-10_PASSIVE-PASSIVE_RTO4_DC05_1messages.dat,99009.074,94072.0,3479197753.812524,58984.7247498242,1038,312579,0,34940
16,TxRx50_ARQ20-20_ACTIVE-ACTIVE_RTO4_DC05_1messages.dat,46695.74,38690.5,1332763412.3824,36507.032368879285,1217,179138,0,61220
17,TxRx50_ARQ20-20_PASSIVE-PASSIVE_RTO4_DC05_1messages.dat,49891.209,43475.5,1403022392.5893188,37456.9405129319,1968,234975,0,61160
18,TxRx50_ARQ30-30_ACTIVE-ACTIVE_RTO4_DC05_1messages.dat,28255.409,20038.5,647427603.285719,25444.59870553511,1260,121993,0,90120
19,TxRx50_ARQ30-30_PASSIVE-PASSIVE_RTO4_DC05_1messages.dat,29663.336,19639.5,743720052.1071041,27271.231217293876,1299,165718,0,90240
20,TxRx50_ARQ50-50_ACTIVE-ACTIVE_RTO4_DC05_1messages.dat,14797.994,8711.5,247300031.81596398,15725.776032233322,1150,99841,0,150000
21,TxRx50_ARQ50-50_PASSIVE-PASSIVE_RTO4_DC05_1messages.dat,14774.646,7897.5,261059514.54268396,16157.336245269018,1245,94041,0,150000
22,TxRx50_ARQ100-100_ACTIVE-ACTIVE_RTO4_DC05_1messages.dat,5897.259,4088.0,34168761.889919005,5845.405194673763,983,52620,0,300000
23,TxRx50_ARQ100-100_PASSIVE-PASSIVE_RTO4_DC05_1messages.dat,5516.502,4144.5,20487697.779996,4526.333812258658,959,34944,0,300000
24,TxRx70_ARQ1-1_ACTIVE-ACTIVE_RTO4_DC05_1messages.dat,1489131.891,1427581.0,432311382034.34515,657503.9026761325,78616,4038901,0,10224
25,TxRx70_ARQ1-1_PASSIVE-PASSIVE_RTO4_DC05_1messages.dat,1518329.57,1450526.5,399475546161.05707,632040.7788751111,45882,3888666,0,10318
26,TxRx70_ARQ10-10_ACTIVE-ACTIVE_RTO4_DC05_1messages.dat,308141.005,293863.0,33035267918.500977,181756.0670748049,4999,991166,0,33600
27,TxRx70_ARQ10-10_PASSIVE-PASSIVE_RTO4_DC05_1messages.dat,304821.57,291591.5,32940371788.3511,181494.82578947284,3710,951272,0,33280
28,TxRx70_ARQ20-20_ACTIVE-ACTIVE_RTO4_DC05_1messages.dat,156545.481,132535.0,14421237106.089638,120088.45534059317,2271,714929,0,60820
29,TxRx70_ARQ20-20_PASSIVE-PASSIVE_RTO4_DC05_1messages.dat,159437.061,134606.0,14297406766.20928,119571.7640842071,3261,785503,0,60720
30,TxRx70_ARQ30-30_ACTIVE-ACTIVE_RTO4_DC05_1messages.dat,100902.596,76401.0,7717529160.146783,87849.46875278634,2783,460281,0,90150
31,TxRx70_ARQ30-30_PASSIVE-PASSIVE_RTO4_DC05_1messages.dat,91969.251,68908.0,6089861653.006,78037.56565274188,3421,401965,0,90000
32,TxRx70_ARQ50-50_ACTIVE-ACTIVE_RTO4_DC05_1messages.dat,48879.703,28808.0,2658904261.258791,51564.56400725978,2785,312584,0,150050
33,TxRx70_ARQ50-50_PASSIVE-PASSIVE_RTO4_DC05_1messages.dat,49303.127,30481.0,2634675575.218871,51329.09092531126,2014,383333,0,150000
34,TxRx70_ARQ100-100_ACTIVE-ACTIVE_RTO4_DC05_1messages.dat,18467.587,11391.0,492195498.24043095,22185.47944580939,1790,244218,0,300000
35,TxRx70_ARQ100-100_PASSIVE-PASSIVE_RTO4_DC05_1messages.dat,18622.375,11560.0,379647749.158375,19484.55155137975,2646,148082,0,300000
36,TxRx90_ARQ1-1_ACTIVE-ACTIVE_RTO4_DC05_1messages.dat,3154725.027,3004091.0,1845670749850.3843,1358554.6547159536,237872,8445275,0,11120
37,TxRx90_ARQ1-1_PASSIVE-PASSIVE_RTO4_DC05_1messages.dat,3095167.593,3022177.5,1639904444787.9534,1280587.5389007786,28734,7433535,0,10972
