,File Name,Mean,Median,Var,Std,Min,Max,Decomposing Number,Molecular Num in Environment
0,TxRx30_ARQ1-1_PASSIVE-PASSIVE_RTO0_DC05_1messages.dat,181249.582,123812.0,35215828432.79528,187658.80856702485,171,1305969,0,3000
1,TxRx30_ARQ1-1_PASSIVE-PASSIVE_RTO4_DC05_1messages.dat,92941.723,89982.0,1613274365.456271,40165.58683072203,1930,232251,0,12122
2,TxRx30_ARQ10-10_PASSIVE-PASSIVE_RTO4_DC05_1messages.dat,16229.899,15576.5,114388519.154799,10695.25685314752,643,51816,0,34830
3,TxRx30_ARQ20-20_PASSIVE-PASSIVE_RTO4_DC05_1messages.dat,8053.339,5551.0,51060857.598078996,7145.6880423146795,419,39517,0,61180
4,TxRx30_ARQ30-30_PASSIVE-PASSIVE_RTO4_DC05_1messages.dat,4460.794,2698.0,18606517.725564003,4313.527295098989,310,30763,0,90090
5,TxRx30_ARQ50-50_PASSIVE-PASSIVE_RTO4_DC05_1messages.dat,2369.98,1573.0,5909849.3376,2431.0181689160613,378,16334,0,150000
6,TxRx30_ARQ100-100_PASSIVE-PASSIVE_RTO4_DC05_1messages.dat,1108.991,939.0,481041.882919,693.5718296751967,280,11579,0,300000
7,TxRx50_ARQ1-1_PASSIVE-PASSIVE_RTO0_DC05_1messages.dat,924324.173,636927.0,834816323223.2871,913682.8351366174,591,6294085,0,3000
8,TxRx50_ARQ1-1_PASSIVE-PASSIVE_RTO4_DC05_1messages.dat,484142.593,466242.0,43398495252.14136,208323.0550182609,24260,1313811,0,11480
9,TxRx50_ARQ10-10_PASSIVE-PASSIVE_RTO4_DC05_1messages.dat,99009.074,94072.0,3479197753.812524,58984.7247498242,1038,312579,0,34940
10,TxRx50_ARQ20-20_PASSIVE-PASSIVE_RTO4_DC05_1messages.dat,49891.209,43475.5,1403022392.5893188,37456.9405129319,1968,234975,0,61160
11,TxRx50_ARQ30-30_PASSIVE-PASSIVE_RTO4_DC05_1messages.dat,29663.336,19639.5,743720052.1071041,27271.231217293876,1299,165718,0,90240
12,TxRx50_ARQ50-50_PASSIVE-PASSIVE_RTO4_DC05_1messages.dat,14774.646,7897.5,261059514.54268396,16157.336245269018,1245,94041,0,150000
13,TxRx50_ARQ100-100_PASSIVE-PASSIVE_RTO4_DC05_1messages.dat,5516.502,4144.5,20487697.779996,4526.333812258658,959,34944,0,300000
14,TxRx70_ARQ1-1_PASSIVE-PASSIVE_RTO0_DC05_1messages.dat,2414904.815,1605896.0,6275891525361.195,2505172.9531833115,2847,19401357,0,3000
15,TxRx70_ARQ1-1_PASSIVE-PASSIVE_RTO4_DC05_1messages.dat,1518329.57,1450526.5,399475546161.05707,632040.7788751111,45882,3888666,0,10318
16,TxRx70_ARQ10-10_PASSIVE-PASSIVE_RTO4_DC05_1messages.dat,304821.57,291591.5,32940371788.3511,181494.82578947284,3710,951272,0,33280
17,TxRx70_ARQ20-20_PASSIVE-PASSIVE_RTO4_DC05_1messages.dat,159437.061,134606.0,14297406766.20928,119571.7640842071,3261,785503,0,60720
18,TxRx70_ARQ30-30_PASSIVE-PASSIVE_RTO4_DC05_1messages.dat,91969.251,68908.0,6089861653.006,78037.56565274188,3421,401965,0,90000
19,TxRx70_ARQ50-50_PASSIVE-PASSIVE_RTO4_DC05_1messages.dat,49303.127,30481.0,2634675575.218871,51329.09092531126,2014,383333,0,150000
20,TxRx70_ARQ100-100_PASSIVE-PASSIVE_RTO4_DC05_1messages.dat,18622.375,11560.0,379647749.158375,19484.55155137975,2646,148082,0,300000
21,TxRx90_ARQ1-1_PASSIVE-PASSIVE_RTO0_DC05_1messages.dat,5176972.655,3681739.5,24929867942311.977,4992981.868814664,5295,24999999,0,3000
22,TxRx90_ARQ1-1_PASSIVE-PASSIVE_RTO4_DC05_1messages.dat,3095167.593,3022177.5,1639904444787.9534,1280587.5389007786,28734,7433535,0,10972
23,TxRx90_ARQ10-10_PASSIVE-PASSIVE_RTO4_DC05_1messages.dat,667785.441,637479.5,129600953662.71051,360001.32452910574,8082,2057590,0,34460
24,TxRx90_ARQ20-20_PASSIVE-PASSIVE_RTO4_DC05_1messages.dat,345749.924,301454.0,58226732991.11023,241302.1611820131,7870,1265271,0,60820
25,TxRx90_ARQ30-30_PASSIVE-PASSIVE_RTO4_DC05_1messages.dat,226584.588,173799.5,34251300688.39426,185071.06929067618,7254,1014650,0,90210
26,TxRx90_ARQ50-50_PASSIVE-PASSIVE_RTO4_DC05_1messages.dat,110358.755,70646.5,12327737974.908978,111030.34708992392,4440,647270,0,150000
27,TxRx90_ARQ100-100_PASSIVE-PASSIVE_RTO4_DC05_1messages.dat,43561.471,25003.5,2163769420.4591594,46516.33498524104,4388,341123,0,300000
