,File Name,Mean,Median,Var,Std,Min,Max,Decomposing Number,Molecular Num in Environment
0,TxRx30_ARQ20-20_Pass-Pass_RTO0.dat,11395.45,7937.5,128463990.78550003,11334.195639104702,440,93163,0,60000
1,TxRx30_ARQ20-20_Pass-Pass_RTO1.dat,7952.081,6526.5,37877070.748439014,6154.435047056636,498,35260,0,65140
2,TxRx30_ARQ20-20_Pass-Pass_RTO2.dat,7347.971,5994.0,30197699.760159004,5495.243375880545,473,28745,0,67020
3,TxRx30_ARQ20-20_Pass-Pass_RTO3.dat,7711.367,6525.5,33436872.694311004,5782.462511275884,336,29355,0,65200
4,TxRx30_ARQ20-20_Pass-Pass_RTO4.dat,9174.068,7729.5,52088532.545376,7217.238567857931,477,39109,0,62900
5,TxRx50_ARQ20-20_Pass-Pass_RTO0.dat,64582.266,50057.0,3365569036.305244,58013.52459819386,1110,360982,0,60000
6,TxRx50_ARQ20-20_Pass-Pass_RTO1.dat,51648.3,43790.5,1462577280.112,38243.65673039125,1612,212483,0,65540
7,TxRx50_ARQ20-20_Pass-Pass_RTO2.dat,48480.985,41886.0,1227191083.5167751,35031.28720896186,1467,190535,0,69920
8,TxRx50_ARQ20-20_Pass-Pass_RTO3.dat,49772.529,43367.5,1233474414.2911587,35120.85440719173,1583,179652,0,67760
9,TxRx50_ARQ20-20_Pass-Pass_RTO4.dat,55711.905,48524.0,1762380262.041975,41980.712976817995,1568,214917,0,64100
10,TxRx70_ARQ20-20_Pass-Pass_RTO0.dat,229685.237,182396.0,41701244773.17084,204208.8263840984,2682,1566414,0,60000
11,TxRx70_ARQ20-20_Pass-Pass_RTO1.dat,193154.023,172619.5,19255742918.292473,138765.0637527057,2911,816455,0,64820
12,TxRx70_ARQ20-20_Pass-Pass_RTO2.dat,172874.312,149259.5,16134742794.730656,127022.60741588741,2745,699378,0,69520
13,TxRx70_ARQ20-20_Pass-Pass_RTO3.dat,179818.684,165191.0,14866977047.458145,121930.21384159935,3334,610118,0,67320
14,TxRx70_ARQ20-20_Pass-Pass_RTO4.dat,191770.444,169212.0,19481588831.98286,139576.46231361097,2276,995680,0,63740
15,TxRx90_ARQ20-20_Pass-Pass_RTO0.dat,438319.622,354768.0,130948587578.76112,361868.1908910496,5910,2330044,0,60000
16,TxRx90_ARQ20-20_Pass-Pass_RTO1.dat,382110.924,337015.5,63602222674.73023,252194.8109591675,5604,1201333,0,64060
17,TxRx90_ARQ20-20_Pass-Pass_RTO2.dat,336954.962,299575.5,52963976035.878555,230139.0363147429,6411,1353365,0,69200
18,TxRx90_ARQ20-20_Pass-Pass_RTO3.dat,356659.955,325986.0,56849525679.042984,238431.38568368676,6874,1280118,0,67400
19,TxRx90_ARQ20-20_Pass-Pass_RTO4.dat,373115.938,320282.5,69470125723.40816,263571.860644129,9983,1385773,0,64020
